2025-05-28 20:21:50,587 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 20:24:27,661 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 20:27:01,633 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 20:30:30,548 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 20:33:16,742 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 20:33:32,891 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 20:37:27,753 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 20:37:40,331 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 20:44:52,095 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 20:49:10,378 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 20:50:13,536 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 20:55:15,916 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 20:59:34,853 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 21:02:49,736 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 21:04:20,932 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 21:06:32,989 | WARNING | SimpleTokenizer | Unrecognized word: 'what', adding it dynamically to vocabulary!
2025-05-28 21:06:32,989 | WARNING | SimpleTokenizer | Unrecognized word: 's', adding it dynamically to vocabulary!
2025-05-28 21:06:32,989 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', adding it dynamically to vocabulary!
2025-05-28 21:06:32,989 | WARNING | SimpleTokenizer | Unrecognized word: 'of', adding it dynamically to vocabulary!
2025-05-28 21:08:23,956 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 21:08:37,562 | WARNING | SimpleTokenizer | Unrecognized word: 'whats', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:08:37,562 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:08:37,581 | WARNING | SimpleTokenizer | Unrecognized word: 'whats', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:08:37,581 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:15:42,375 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 21:15:47,018 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:15:47,018 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:15:47,019 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:15:47,019 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:15:47,041 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:15:47,041 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:15:47,042 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:15:47,042 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:16:27,055 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 21:16:31,324 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:16:31,324 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:16:31,324 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:16:31,324 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:16:31,349 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:16:31,349 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:16:31,349 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:16:31,349 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:17:07,513 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:17:07,513 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:17:07,513 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:17:07,514 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:17:07,531 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:17:07,531 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:17:07,532 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:17:07,532 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:20:49,147 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:20:49,147 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:20:49,148 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:20:49,148 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:20:49,166 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 21:20:49,166 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
